ruta,metodo,archivo,linea,depends,usa_request,auth,tenant_check,rate_limit,roles,caller_frontend,auditado
/api/asesor/calendar/webhook/callback,POST,backend/routes/asesor_daily_tools.py,76,,sí,,,,,,
/api/asesor/calendar/sync-status,GET,backend/routes/asesor_daily_tools.py,96,,sí,,,,,,
/api/asesor/calendar/sync-now,POST,backend/routes/asesor_daily_tools.py,104,,sí,,,,,,
/api/asesor/visit-briefing/generate,POST,backend/routes/asesor_daily_tools.py,115,,sí,,,,,,
/api/asesor/visit-briefing/{appointment_id},GET,backend/routes/asesor_daily_tools.py,137,,sí,,,,,,
/api/asesor/visit-briefing/{briefing_id}/viewed,POST,backend/routes/asesor_daily_tools.py,152,,sí,,,,,,
/api/asesor/lead/{lead_id}/insights,GET,backend/routes/asesor_daily_tools.py,163,,sí,,,,,,
/api/public/endorsements,POST,backend/routes/asesor_identity.py,87,,sí,,,,,,
/api/public/endorsements/confirm/{token},GET,backend/routes/asesor_identity.py,115,,sí,,,,,,
/api/public/asesor/{asesor_id}/endorsements,GET,backend/routes/asesor_identity.py,128,,sí,,,,,,
/api/public/asesor/{asesor_id}/profile,GET,backend/routes/asesor_identity.py,141,,sí,,,,,,
/api/public/asesor/{asesor_id}/contact,POST,backend/routes/asesor_identity.py,232,,sí,,,,,,
/api/public/asesor/{asesor_id}/trust-score,GET,backend/routes/asesor_identity.py,275,,sí,,,,,,
/api/asesor-identity/by-slug/{slug},GET,backend/routes/asesor_identity.py,337,,sí,,,,,,
/api/asesor-identity/me/slug,GET,backend/routes/asesor_identity.py,359,,sí,,,,,,
/api/asesor/linkedin/import,POST,backend/routes/asesor_identity.py,376,,sí,,,,,,
/api/asesor/linkedin/me,GET,backend/routes/asesor_identity.py,389,,sí,,,,,,
/api/asesor/linkedin,DELETE,backend/routes/asesor_identity.py,400,,sí,,,,,,
/api/asesor/disc/submit,POST,backend/routes/asesor_identity.py,411,,sí,,,,,,
/api/asesor/disc/me,GET,backend/routes/asesor_identity.py,425,,sí,,,,,,
/api/asesor/disc/me,DELETE,backend/routes/asesor_identity.py,436,,sí,,,,,,
/api/asesor/trust-score/me,GET,backend/routes/asesor_identity.py,447,,sí,,,,,,
/api/asesor/endorsements/{endorsement_id},DELETE,backend/routes/asesor_identity.py,459,,sí,,,,,,
/api/asesor/endorsements/me,GET,backend/routes/asesor_identity.py,470,,sí,,,,,,
/api/asesor/market/amenity-ranker,GET,backend/routes/asesor_market.py,35,,sí,,,,,,
/api/asesor/market/demand-gap,GET,backend/routes/asesor_market.py,44,,sí,,,,,,
/api/asesor/metrics/me,GET,backend/routes/asesor_metrics.py,31,,sí,,,,,,
/api/asesor/metrics/team,GET,backend/routes/asesor_metrics.py,40,,sí,,,,,,
/api/asesor/metrics/{asesor_id}/timeseries,GET,backend/routes/asesor_metrics.py,57,,sí,,,,,,
/api/asesor/proyecto/{project_id}/playbook,GET,backend/routes/asesor_playbook.py,57,,sí,,,,,,
/api/asistente/sessions/{session_token},GET,backend/routes/asistente.py,99,,sí,,,,,,
/api/asistente/sessions,POST,backend/routes/asistente.py,133,,sí,,,,,,
/api/asistente/sessions/{session_token}/messages,POST,backend/routes/asistente.py,151,,sí,,,,,,
/api/asistente/ask,POST,backend/routes/asistente.py,174,,sí,,,,,,
/api/asistente/sessions/{session_token}/capture-lead,POST,backend/routes/asistente.py,242,,sí,,,,,,
/api/superadmin/asistente/usage,GET,backend/routes/asistente.py,290,,sí,,,,,,
/api/superadmin/atlax-persona/{org_id},GET,backend/routes/atlax_persona.py,130,,sí,,,,,,
/api/superadmin/atlax-persona/{org_id},PATCH,backend/routes/atlax_persona.py,155,,sí,,,,,,
/api/superadmin/atlax-persona/{org_id}/preview,POST,backend/routes/atlax_persona.py,188,,sí,,,,,,
/api/auth/register,POST,backend/routes/auth.py,123,,sí,,,,,,
/api/auth/login,POST,backend/routes/auth.py,153,,sí,,,,,,
/api/auth/session,POST,backend/routes/auth.py,189,,sí,,,,,,
/api/auth/me,GET,backend/routes/auth.py,232,,sí,,,,,,
/api/auth/select-role,POST,backend/routes/auth.py,241,,sí,,,,,,
/api/auth/logout,POST,backend/routes/auth.py,262,,sí,,,,,,
/api/auth/comprador/magic-link/request,POST,backend/routes/auth.py,324,,sí,,,,,,
/api/auth/comprador/magic-link/verify,GET,backend/routes/auth.py,398,,sí,,,,,,
/api/auth/in-house/accept-invitation,POST,backend/routes/auth.py,471,,sí,,,,,,
/api/asesor/autopilot/config,GET,backend/routes/auto_pilot.py,36,,sí,,,,,,
/api/asesor/autopilot/config,PATCH,backend/routes/auto_pilot.py,43,,sí,,,,,,
/api/asesor/autopilot/log,GET,backend/routes/auto_pilot.py,56,,sí,,,,,,
/api/asesor/autopilot/pause,POST,backend/routes/auto_pilot.py,63,,sí,,,,,,
/api/asesor/autopilot/run-now,POST,backend/routes/auto_pilot.py,76,,sí,,,,,,
/api/superadmin/avm-accuracy/summary,GET,backend/routes/avm_accuracy.py,35,,sí,,,,,,
/api/superadmin/avm-accuracy/promotions,GET,backend/routes/avm_accuracy.py,127,,sí,,,,,,
/api/superadmin/avm-accuracy/trigger-retrain,POST,backend/routes/avm_accuracy.py,143,,sí,,,,,,
/api/superadmin/avm-accuracy/golden-validation,GET,backend/routes/avm_accuracy.py,158,,sí,,,,,,
/api/superadmin/avm-accuracy/cache-stats,GET,backend/routes/avm_accuracy.py,168,,sí,,,,,,
/api/superadmin/avm-accuracy/cache-invalidate,POST,backend/routes/avm_accuracy.py,178,,sí,,,,,,
/api/avm-public/quick,GET,backend/routes/avm_public.py,44,,sí,,,,,,
/api/avm-public/colonia/{slug},GET,backend/routes/avm_public.py,76,,sí,,,,,,
/api/avm-public/colonias/top,GET,backend/routes/avm_public.py,85,,sí,,,,,,
/api/avm-public/widget-config/{colonia_slug},GET,backend/routes/avm_public.py,92,,sí,,,,,,
/api/avm-public/landing/{colonia_slug},GET,backend/routes/avm_public.py,145,,sí,,,,,,
/api/leads/public,POST,backend/routes/b13.py,100,,sí,,,,,,
/api/leads/{lead_id}/attribution,GET,backend/routes/b13.py,267,,sí,,,,,,
/api/leads/{lead_id}/attribution,POST,backend/routes/b13.py,283,,sí,,,,,,
/api/dev/settings/attribution-model,GET,backend/routes/b13.py,307,,sí,,,,,,
/api/dev/settings/attribution-model,PATCH,backend/routes/b13.py,320,,sí,,,,,,
/api/asesor/tracking-links,GET,backend/routes/b13.py,357,,sí,,,,,,
/api/asesor/tracking-links/qrcode,POST,backend/routes/b13.py,408,,sí,,,,,,
/api/asesor/tracking-links/stats,GET,backend/routes/b13.py,423,,sí,,,,,,
/api/tracking/view,POST,backend/routes/b13.py,441,,sí,,,,,,
/api/dev/leads/kanban-unified,GET,backend/routes/b13.py,467,,sí,,,,,,
/api/cross-portal/sync-check,POST,backend/routes/b13.py,501,,sí,,,,,,
/api/dev/leads/count-unread,GET,backend/routes/badges.py,34,,sí,,,,,,
/api/dev/citas/count-today,GET,backend/routes/badges.py,50,,sí,,,,,,
/api/dev/projects/count-unhealthy,GET,backend/routes/badges.py,74,,sí,,,,,,
/api/asesor/contacts/count-new,GET,backend/routes/badges.py,99,,sí,,,,,,
/api/dev/battle-card/{project_id},GET,backend/routes/battle_card.py,152,,sí,,,,,,
/api/dev/battle-card/{project_id}/competitors,GET,backend/routes/battle_card.py,223,,sí,,,,,,
/api/dev/battle-card/{project_id}/history,GET,backend/routes/battle_card.py,249,,sí,,,,,,
/api/dev/battle-card/{project_id}/recommendation,GET,backend/routes/battle_card.py,276,,sí,,,,,,
/api/dev/battle-card/{project_id}/export.pdf,GET,backend/routes/battle_card.py,290,,sí,,,,,,
/api/track,POST,backend/routes/behavioral.py,56,,sí,,,,,,
/api/superadmin/behavioral/events,GET,backend/routes/behavioral.py,97,,sí,,,,,,
/api/superadmin/behavioral/aggregate,GET,backend/routes/behavioral.py,137,,sí,,,,,,
/api/asesor/briefing/traffic,POST,backend/routes/briefing_traffic.py,48,,sí,,,,,,
/api/asesor/briefing/traffic/recent,GET,backend/routes/briefing_traffic.py,82,,sí,,,,,,
/api/brochures/variants,GET,backend/routes/brochure.py,53,,sí,,,,,,
/api/brochures/generate,POST,backend/routes/brochure.py,68,,sí,,,,,,
/api/brochures/upload-custom,POST,backend/routes/brochure.py,99,,sí,,,,,,
/api/brochures/list,GET,backend/routes/brochure.py,136,,sí,,,,,,
/api/brochures/{brochure_id},GET,backend/routes/brochure.py,151,,sí,,,,,,
/api/brochures/files/{brochure_id}/pdf,GET,backend/routes/brochure.py,166,,sí,,,,,,
/api/brochures/files/{brochure_id}/social/{fmt},GET,backend/routes/brochure.py,182,,sí,,,,,,
/api/brochures/regenerate/{brochure_id},POST,backend/routes/brochure.py,202,,sí,,,,,,
/api/brochures/{brochure_id},DELETE,backend/routes/brochure.py,231,,sí,,,,,,
/api/bulletins/{slug}/{period},GET,backend/routes/bulletins.py,45,,sí,,,,,,
/api/bulletins/{slug}/{period}/pdf,GET,backend/routes/bulletins.py,62,,sí,,,,,,
/api/public/methodology,GET,backend/routes/bulletins.py,78,,sí,,,,,,
/api/superadmin/bulletins/list,GET,backend/routes/bulletins.py,199,,sí,,,,,,
/api/superadmin/bulletins/generate,POST,backend/routes/bulletins.py,229,,sí,,,,,,
