ruta,metodo,archivo,linea
/api/inversion-v4/zona-contexto,GET,backend/routes/public.py,829
/api/superadmin/atlas-riesgo/ingest,POST,backend/routes/public.py,921
/api/superadmin/shf/refresh,POST,backend/routes/public.py,952
/api/inversion-v4/airroi,POST,backend/routes/public.py,974
/api/superadmin/google-places/ingest-lugares,POST,backend/routes/public.py,1029
/api/superadmin/google-places/ingest,POST,backend/routes/public.py,1040
/api/colonias,GET,backend/routes/public.py,1052
/api/colonias-geojson,GET,backend/routes/public.py,1057
/api/colonia-watch,POST,backend/routes/public.py,1170
/api/colonia-watch,DELETE,backend/routes/public.py,1185
/api/colonia-watch,GET,backend/routes/public.py,1191
/api/catastro/colonia/{colonia_id}/far-vintage,GET,backend/routes/public.py,1208
/api/catastro/colonia/{colonia},GET,backend/routes/public.py,1216
/api/precio-posicion,GET,backend/routes/public.py,1237
/api/mapa/colonia/{colonia_id}/valoracion,GET,backend/routes/public.py,1263
/api/precio-posicion-batch,POST,backend/routes/public.py,1286
/api/public/payment-schemes/{project_id},GET,backend/routes/public.py,1314
/api/catastro/predios-bbox,GET,backend/routes/public.py,1334
/api/para-ti,GET,backend/routes/public.py,1393
/api/colonias-similar/{colonia_id},GET,backend/routes/public.py,1432
/api/colonias/{colonia_id},GET,backend/routes/public.py,1443
/api/colonias/{colonia_id}/propiedades,GET,backend/routes/public.py,1451
/api/properties,GET,backend/routes/public.py,1459
/api/properties/{prop_id},GET,backend/routes/public.py,1509
/api/properties/{prop_id}/similares,GET,backend/routes/public.py,1517
/api/properties/{prop_id}/briefing,POST,backend/routes/public.py,1545
/api/developments,GET,backend/routes/public.py,1653
/api/developments/casi,GET,backend/routes/public.py,1908
/api/developments/{dev_id},GET,backend/routes/public.py,2029
/api/developments/{dev_id}/units,GET,backend/routes/public.py,2090
/api/developments/{dev_id}/compliance-badge,GET,backend/routes/public.py,2117
/api/developments/{dev_id}/similar,GET,backend/routes/public.py,2163
/api/developments/{dev_id}/rank,GET,backend/routes/public.py,2175
/api/developers/{developer_id},GET,backend/routes/public.py,2209
/api/developments/{dev_id}/briefing,POST,backend/routes/public.py,2221
/api/colonias-search,GET,backend/routes/public.py,2380
/api/public/pulso-zona,GET,backend/routes/public.py,2410
/api/public/registro-interes,POST,backend/routes/public.py,2500
/api/properties/search-ai,POST,backend/routes/public.py,2519
/api/search/nlp,POST,backend/routes/public.py,3144
/api/health,GET,backend/routes/public.py,3152
/api/v1/zones/{zone_id}/snapshot,GET,backend/routes/public_api_v1.py,82
/api/v1/zones/{zone_id}/timeseries,GET,backend/routes/public_api_v1.py,127
/api/v1/zones/{zone_id}/zone-score,GET,backend/routes/public_api_v1.py,148
/api/v1/zones/{zone_id}/risk-score,GET,backend/routes/public_api_v1.py,175
/api/v1/zones/{zone_id}/drpi,GET,backend/routes/public_api_v1.py,203
/api/v1/comparables,GET,backend/routes/public_api_v1.py,232
/api/v1/market/indices,GET,backend/routes/public_api_v1.py,284
/api/v1/market/indices/history,GET,backend/routes/public_api_v1.py,310
/api/v1/zones/{zone_id}/demand,GET,backend/routes/public_api_v1.py,325
/api/v1/zones/{zone_id}/bancabilidad,GET,backend/routes/public_api_v1.py,354
/api/v1/valuations/{property_id},GET,backend/routes/public_api_v1.py,367
/api/v1/demand-pulse,GET,backend/routes/public_api_v1.py,409
/api/v1/openapi,GET,backend/routes/public_api_v1.py,706
/api/public/market/index,GET,backend/routes/public_market.py,37
/api/public/market/amenity-ranker,GET,backend/routes/public_market.py,67
/api/public/zones/{slug},GET,backend/routes/public_zones.py,48
/api/reverse-search,POST,backend/routes/reverse_search.py,81
/api/reviews/zone/{zone_id},GET,backend/routes/reviews_residents.py,38
/api/reviews/development/{dev_id},GET,backend/routes/reviews_residents.py,45
/api/reviews/summary/{entity_type}/{entity_id},GET,backend/routes/reviews_residents.py,52
/api/investment-simulator/score,GET,backend/routes/score_inversion.py,43
/api/investment-simulator/score/top-colonias,GET,backend/routes/score_inversion.py,71
/api/zones/{zone_id}/scores,GET,backend/routes/scores.py,211
/api/zones/{zone_id}/scores/coverage,GET,backend/routes/scores.py,244
/api/developments/{dev_id}/scores,GET,backend/routes/scores.py,287
/api/units/{unit_id}/scores,GET,backend/routes/scores.py,293
/api/zones/{zone_id}/scores/explain,GET,backend/routes/scores.py,324
/api/seo/llms.txt,GET,backend/routes/seo_files.py,121
/api/seo/sitemap.xml,GET,backend/routes/seo_files.py,128
/api/seo/.well-known/ai-plugin.json,GET,backend/routes/seo_files.py,183
/api/seo-themed/{theme_key},GET,backend/routes/seo_themed.py,85
/api/seo-themed,GET,backend/routes/seo_themed.py,154
/api/public/colonia/{colonia_id}/history,GET,backend/routes/share_meta.py,44
/api/share/comparar/meta,GET,backend/routes/share_meta.py,57
/api/share/comparar/og-image,GET,backend/routes/share_meta.py,193
/api/exports/qr,GET,backend/routes/share_meta.py,261
/api/share/cma/{cma_id}/og-image,GET,backend/routes/share_meta.py,396
/api/share/cma/{cma_id}/meta,GET,backend/routes/share_meta.py,442
/api/asesor/smart-lists/presets,GET,backend/routes/smart_lists.py,55
/api/soc-franchise/leaderboard,GET,backend/routes/soc_franchise.py,62
/api/social-ads/oauth/callback,GET,backend/routes/social_ads.py,165
/api/state-of-cdmx,GET,backend/routes/state_of_cdmx.py,19
/api/state-of-cdmx/og-image/{period}.png,GET,backend/routes/state_of_cdmx.py,27
/api/state-of-cdmx/{period},GET,backend/routes/state_of_cdmx.py,42
/api/studio/library,GET,backend/routes/studio.py,354
/api/studio/dashboard,GET,backend/routes/studio.py,368
/api/studio/generate-video,POST,backend/routes/studio.py,388
/api/studio/generate-ads,POST,backend/routes/studio.py,422
/api/studio/videos/{vid},GET,backend/routes/studio.py,442
/api/studio/ad-batches/{bid},GET,backend/routes/studio.py,451
/api/studio/ad-batches/{bid}/hero-image/{angulo},POST,backend/routes/studio.py,460
/api/studio/assets/{asset_id},GET,backend/routes/studio.py,507
/api/studio/videos/{vid}/file,GET,backend/routes/studio.py,522
/api/studio/videos/{vid}/status,GET,backend/routes/studio.py,535
/api/studio/ad-batches/{bid}/activate-full,POST,backend/routes/studio.py,549
/api/studio/ad-batches/{bid}/full-status,GET,backend/routes/studio.py,603
/api/studio/tts/generate,POST,backend/routes/studio.py,624
/api/studio/tts/{aid}/download,GET,backend/routes/studio.py,648
/api/studio/my-budget,GET,backend/routes/studio.py,662
/api/studio/admin/budgets,GET,backend/routes/studio.py,688
/api/studio/admin/budgets/{user_id},PATCH,backend/routes/studio.py,699
/api/studio/carrusel/{carrusel_id}/track,POST,backend/routes/studio_carrusel.py,106
/api/studio/landing/templates,GET,backend/routes/studio_landing.py,208
/api/studio/landing/templates/{template_key},GET,backend/routes/studio_landing.py,219
/api/studio/landing/starters,GET,backend/routes/studio_landing.py,520
/api/landing/{slug},GET,backend/routes/studio_landing.py,586
/api/landing/{slug}/marketplace,GET,backend/routes/studio_landing.py,617
/api/landing/{slug}/lead,POST,backend/routes/studio_landing.py,660
/api/landing/{slug}/analytics,POST,backend/routes/studio_landing.py,675
/api/landing/{slug}/cross-links,GET,backend/routes/studio_landing.py,705
/api/landing/{slug}/track,GET,backend/routes/studio_landing.py,748
/api/studio/property-intake/list,GET,backend/routes/studio_property_intake.py,141
/api/studio/property-intake/public/{slug},GET,backend/routes/studio_property_intake.py,163
/api/studio/property-intake/{intake_id}/publish,POST,backend/routes/studio_property_intake.py,324
/api/swipe/{token},GET,backend/routes/swipe_public.py,103
/api/swipe/{token}/vote,POST,backend/routes/swipe_public.py,174
/api/swipe/{token}/cita,POST,backend/routes/swipe_public.py,199
/api/swipe/{token}/nota,POST,backend/routes/swipe_public.py,230
/api/swipe/{token}/events,POST,backend/routes/swipe_public.py,274
/api/swipe/{token}/profile,POST,backend/routes/swipe_public.py,305
/api/tax/isr-vendedor,POST,backend/routes/tax_projector.py,82
/api/tax/isai-comprador,POST,backend/routes/tax_projector.py,91
