engine,importado_por_n,importado_por,expuesto_en_endpoint,agendado_en_cron,estado_preliminar,auditado
backend/transaction_network_engine.py,9,backend/cerebro/coach.py;backend/engines_batch_cubo.py;backend/routes/advisor.py;backend/routes/dev_batch4.py;backend/routes/transaction_network.py;backend/scheduler_ie.py,backend/routes/advisor.py;backend/routes/dev_batch4.py;backend/routes/transaction_network.py,backend/scheduler_ie.py,ACTIVO,
backend/trial_expiry_cron.py,4,backend/routes/superadmin_commercial.py;backend/scheduler_ie.py;backend/server.py;backend/tests/wave2/test_trial_expiry_cron_unit.py,backend/routes/superadmin_commercial.py;backend/server.py,backend/scheduler_ie.py;backend/tests/wave2/test_trial_expiry_cron_unit.py,ACTIVO,
backend/unidad_insights_engine.py,2,backend/engines_batch_inversion.py;backend/routes/dev_batch11.py,backend/routes/dev_batch11.py,no,ACTIVO,
backend/valor_residual_engine.py,7,backend/demand_intelligence.py;backend/engines_batch_valuacion.py;backend/generador_producto_engine.py;backend/golden_calibration_engine.py;backend/lote_veredicto_engine.py;backend/norma3_engine.py,backend/routes/dev_valor_residual.py,no,ACTIVO,
backend/valores_unitarios_engine.py,3,backend/engines_hub.py;backend/routes/dev_batch11.py;backend/routes/dmx_indices.py,backend/routes/dev_batch11.py;backend/routes/dmx_indices.py,no,ACTIVO,
backend/vertical_products_engine.py,5,backend/inversionista_engine.py;backend/investment_simulator_engine.py;backend/routes/vertical_products.py;backend/server.py;backend/tests/wave3/test_vertical_products_engine_unit.py,backend/routes/vertical_products.py;backend/server.py,no,ACTIVO,
backend/video_standalone_engine.py,3,backend/asistente_engine.py;backend/routes/video_standalone.py;backend/server.py,backend/routes/video_standalone.py;backend/server.py,no,ACTIVO,
backend/virtual_staging_engine.py,2,backend/routes/virtual_staging.py;backend/server.py,backend/routes/virtual_staging.py;backend/server.py,no,ACTIVO,
backend/voice_atlax_engine.py,4,backend/routes/advisor.py;backend/routes/voice.py;backend/server.py;backend/tests/wave4/test_voice_atlax_engine_unit.py,backend/routes/advisor.py;backend/routes/voice.py;backend/server.py,no,ACTIVO,
backend/whatif_engine.py,5,backend/director_agent_engine.py;backend/mcp_tools.py;backend/routes/dev_sales_intel.py;backend/routes/whatif.py;backend/server.py,backend/routes/dev_sales_intel.py;backend/routes/whatif.py;backend/server.py,no,ACTIVO,
backend/whatsapp_engine.py,10,backend/asesor_digest_engine.py;backend/auto_pilot_engine.py;backend/lead_nurture_engine.py;backend/routes/advisor.py;backend/routes/whatsapp.py;backend/routes/whatsapp_copiloto.py,backend/routes/advisor.py;backend/routes/whatsapp.py;backend/routes/whatsapp_copiloto.py,backend/scheduler_ie.py,ACTIVO,
backend/widget_embed_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/workflow_engine.py,6,backend/conversation_workflow_bridge.py;backend/marketplace_templates_engine.py;backend/routes/workflows.py;backend/server.py;backend/tests/test_workflow_isolation_b56.py;backend/workflow_queue.py,backend/routes/workflows.py;backend/server.py,no,ACTIVO,
backend/zone_cycle_engine.py,9,backend/demand_intelligence.py;backend/dmx_indices_engine.py;backend/engines_batch_geo.py;backend/ownership_economics_engine.py;backend/perfil_zona_engine.py;backend/routes/buy_signal.py,backend/routes/buy_signal.py;backend/routes/developer.py;backend/routes/public.py,no,ACTIVO,
backend/zone_data_cron.py,2,backend/routes/dmx_indices.py;backend/server.py,backend/routes/dmx_indices.py;backend/server.py,no,ACTIVO,
backend/zone_score_engine.py,23,backend/asistente_engine.py;backend/buyer_coach_engine.py;backend/cma_engine.py;backend/demand_intelligence.py;backend/dmx_cube_feed.py;backend/engines_hub.py,backend/routes/bulletins.py;backend/routes/phase5_foundation.py;backend/routes/public.py,backend/scheduler_ie.py,ACTIVO,
backend/zone_subscores_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
