coleccion,n_archivos,archivos
buyer_favorites,6,backend/buyer_score_engine.py;backend/newsletter_pulse_engine.py;backend/services/buyer_history.py;backend/services/comprador_dashboard.py;backend/services/smart_match.py;backend/services/wrapped_generator.py
units_history,6,backend/data_doctrine.py;backend/routes/dev_batch10.py;backend/routes/dev_sales_intel.py;backend/routes/superadmin_metrics_cube.py;backend/units_history.py;scripts/propagation_directions.py
data_sources_sync_log,6,backend/data_sources/atlas_riesgos_engine.py;backend/data_sources/banxico_engine.py;backend/data_sources/catastro_engine.py;backend/data_sources/gtfs_engine.py;backend/data_sources/osm_engine.py;backend/data_sources/sigcdmx_engine.py
project_preassignments,6,backend/probes/cross_portal.py;backend/routes/asesor_playbook.py;backend/routes/b13.py;backend/routes/dev_batch11.py;backend/routes/dev_batch14.py;backend/routes/wizard.py
chat_threads,6,backend/routes/advisor.py;backend/routes/chat.py;backend/services/chat_engine.py;backend/services/client_insights.py;backend/services/visit_auto_prep.py;backend/services/wrapped_generator.py
asesor_trust_scores,6,backend/routes/advisor_whitelist.py;backend/services/asesor_metrics.py;backend/services/auto_approve_engine.py;backend/services/directory_aggregator.py;backend/services/lead_capture.py;backend/services/trust_score.py
tracking_links,6,backend/routes/funnel.py;backend/routes/tracking_links.py;backend/services/asesor_metrics.py;backend/services/copilot_context.py;backend/services/demand_engine.py;backend/services/sankey_data.py
avm_predictions,5,backend/accuracy_engine.py;backend/buyer_coach_engine.py;backend/fsd_engine.py;backend/routes/accuracy.py;backend/weight_optimizer.py
prediction_accuracy_log,5,backend/accuracy_engine.py;backend/drift_detector.py;backend/routes/accuracy.py;backend/routes/fsd.py;backend/weight_optimizer.py
visit_prep_dossiers,5,backend/agentic_crm/argumentario_engine.py;backend/agentic_crm/observability_engine.py;backend/agentic_crm/visit_prep_engine.py;backend/routes/agentic_crm.py;backend/routes/observability.py
nurture_sequences,5,backend/agentic_crm/observability_engine.py;backend/lead_nurture_engine.py;backend/newsletter_pulse_engine.py;backend/routes/agentic_crm.py;backend/routes/observability.py
director_messages,5,backend/agentic_crm/observability_engine.py;backend/director_agent_engine.py;backend/mcp_tools.py;backend/routes/director.py;backend/routes/observability.py
pricing_recommendations,5,backend/agentic_crm/observability_engine.py;backend/battle_card_engine.py;backend/routes/subagents.py;backend/sub_agents/marketing_agent.py;backend/sub_agents/pricing_agent.py
live_pulse_snapshots,5,backend/asistente_engine.py;backend/live_pulse_cron.py;backend/live_pulse_engine.py;backend/routes/live_pulse.py;backend/studio_auto_content_cron.py
workflow_runs,5,backend/asistente_engine.py;backend/conversation_workflow_bridge.py;backend/routes/workflows.py;backend/scripts/seed_w6_workflows.py;backend/workflow_engine.py
audit_immutable,5,backend/audit_immutable_engine.py;backend/routes/accuracy.py;backend/routes/knowledge_graph.py;backend/scripts/seed_w6_marketplace_templates.py;backend/soc_franchise_engine.py
di_extractions,5,backend/auto_sync_engine.py;backend/cross_check_engine.py;backend/extraction_engine.py;backend/rag_engine.py;backend/routes/documents.py
dev_overlays,5,backend/auto_sync_engine.py;backend/routes/dev_batch1.py;backend/routes/documents.py;backend/routes/public.py;backend/server.py
ie_narratives,5,backend/briefing_engine.py;backend/extraction_engine.py;backend/narrative_engine.py;backend/rag_engine.py;backend/routes/advisor.py
catastro_predios,5,backend/catastro_sig_engine.py;backend/gentrification_engine.py;backend/routes/public.py;scripts/seed_avm_predios.py;scripts/seed_far_predios.py
